County,FIPS,Age Adjusted Incidence Rate,Lower 95% CI,Upper 95% CI,CI Rank,Lower CI Rank,Upper CI Rank,Annual Average Count,Recent Trend,Recent 5 Year Trend,Trend Lower 95% CI,Trend Upper 95% CI,NA
Chelan County,53007,Urban,36.4 ,31.2, 42.3,1 , 1 , 11,38,rising,3.6 ,2.0, 5.7
Jefferson County,53031,Rural,35.1 ,27.6, 44.6,2 , 1 , 17,24,rising,1.7 ,0.2, 3.6
Island County,53029,Rural,34.8 ,30, 40.3,3 , 1 , 13,44,stable,-1.4 ,-6.6, 0.4
Clallam County,53009,Rural,34.5 ,29.6, 40.1,4 , 1 , 13,47,rising,2.1 ,0.9, 3.7
Mason County,53045,Rural,33.4 ,28, 39.6,5 , 1 , 15,32,rising,1.8 ,0.9, 3.0
San Juan County,53055,Rural,33.3 ,23.5, 46.7,6 , 1 , 22,11,stable,-0.8 ,-3.1, 2.0
Kitsap County,53035,Urban,33.1 ,30.3, 36.1,7 , 1 , 11,114,stable,-7.5 ,-17.3, 0.0
Asotin County,53003,Urban,31.6 ,23.1, 42.5,8 , 1 , 22,11,stable,3.5 ,-0.7, 9.4
Snohomish County,53061,Urban,31.4 ,29.7, 33.1,9 , 3 , 12,282,stable,-2.1 ,-7.4, 0.8
Skagit County,53057,Urban,30.1 ,26.3, 34.3,10 , 2 , 16,52,stable,-0.5 ,-6.9, 1.3
Thurston County,53067,Urban,30 ,27.4, 32.7,11 , 4 , 15,106,stable,0.6 ,-8.4, 2.8
King County,53033,Urban,28.6 ,27.6, 29.5,12 , 8 , 15,688,stable,0.1 ,-1.3, 0.9
Pierce County,53053,Urban,27.7 ,26.2, 29.3,13 , 9 , 17,273,rising,2.2 ,1.7, 3.0
Whatcom County,53073,Urban,25.7 ,23, 28.7,14 , 10 , 20,71,stable,8.1 ,-0.8, 15.8
Douglas County,53017,Urban,24.3 ,18.6, 31.3,15 , 5 , 25,13,stable,1.5 ,-0.8, 4.4
Grays Harbor County,53027,Rural,24.2 ,19.9, 29.3,16 , 8 , 23,25,rising,4.9 ,2.1, 15.5
Lewis County,53041,Rural,23.5 ,19.4, 28.4,17 , 9 , 24,25,stable,0.7 ,-2.0, 3.5
Okanogan County,53047,Rural,22.7 ,17.1, 29.6,18 , 6 , 27,13,stable,1.2 ,-2.5, 5.5
Cowlitz County,53015,Urban,22.2 ,18.7, 26.2,19 , 12 , 24,31,stable,1.0 ,-1.9, 4.5
Kittitas County,53037,Rural,22.1 ,16.6, 29,20 , 8 , 27,11,stable,1.6 ,-2.6, 7.1
Clark County,53011,Urban,22 ,20.3, 23.8,21 , 15 , 23,127,falling,-2.1 ,-3.2, -1.0
Klickitat County,53039,Rural,18.4 ,11.7, 27.6,22 , 9 , 31,6,stable,1.5 ,-3.2, 7.3
Skamania County,53059,Urban,17.9 ,10.1, 30.7,23 , 7 , 31,3,*,*,*,*
Pacific County,53049,Rural,16.4 ,10.7, 24.7,24 , 14 , 31,7,*,*,*,*
Benton County,53005,Urban,16.4 ,14.1, 19,25 , 21 , 29,38,stable,-0.5 ,-2.4, 1.6
Yakima County,53077,Urban,16.3 ,14.1, 18.7,26 , 21 , 28,43,stable,-0.2 ,-1.9, 1.6
Walla Walla County,53071,Urban,15.3 ,11.5, 20.1,27 , 19 , 31,12,falling,-6.4 ,-13.6, -3.0
Grant County,53025,Rural,13.9 ,10.8, 17.6,28 , 22 , 31,14,stable,0.9 ,-2.0, 4.2
Spokane County,53063,Urban,11.7 ,10.4, 13,29 , 26 , 31,73,stable,10.6 ,-2.8, 23.3
Stevens County,53065,Urban,10.8 ,7.1, 15.8,30 , 23 , 31,7,stable,-2.8 ,-8.4, 2.6
Franklin County,53021,Urban,10.6 ,7.6, 14.3,31 , 25 , 31,9,stable,-0.6 ,-3.9, 3.4
Adams County,53001,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Columbia County,53013,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Ferry County,53019,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Garfield County,53023,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Lincoln County,53043,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Pend Oreille County,53051,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Wahkiakum County,53069,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Whitman County,53075,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
