County,FIPS,Age Adjusted Incidence Rate,Lower 95% CI,Upper 95% CI,CI Rank,Lower CI Rank,Upper CI Rank,Annual Average Count,Recent Trend,Recent 5 Year Trend,Trend Lower 95% CI,Trend Upper 95% CI,NA
Mason County,53045,Rural,29.2 ,21.5, 38.8,1 , 1 , 19,12,rising,1.6 ,0.3, 3.2
Thurston County,53067,Urban,28.6 ,25.1, 32.5,2 , 1 , 13,51,rising,2.9 ,1.9, 4.5
Skagit County,53057,Urban,28.3 ,23, 34.4,3 , 1 , 17,24,stable,-1.1 ,-10.2, 1.2
Snohomish County,53061,Urban,27.7 ,25.5, 30,4 , 1 , 12,127,stable,-2.9 ,-11.2, 1.3
Clallam County,53009,Rural,27 ,20.3, 35.3,5 , 1 , 20,16,stable,1.5 ,-0.6, 4.0
Island County,53029,Rural,26.8 ,20.9, 34.1,6 , 1 , 19,17,stable,-0.7 ,-8.8, 1.4
Douglas County,53017,Urban,26.3 ,17.6, 37.8,7 , 1 , 22,6,*,*,*,*
Asotin County,53003,Urban,26 ,14.9, 42.4,8 , 1 , 25,4,*,*,*,*
Kitsap County,53035,Urban,26 ,22.4, 29.9,9 , 1 , 17,44,stable,-7.2 ,-18.9, 0.0
Pierce County,53053,Urban,25.3 ,23.4, 27.4,10 , 3 , 16,127,rising,2.1 ,1.3, 3.1
King County,53033,Urban,24.9 ,23.6, 26.2,11 , 5 , 16,308,stable,-0.3 ,-2.1, 0.6
Chelan County,53007,Urban,24.6 ,18.8, 31.8,12 , 1 , 21,14,stable,1.0 ,-2.7, 5.7
Grays Harbor County,53027,Rural,23.7 ,17.2, 31.8,13 , 1 , 22,11,stable,2.1 ,-0.3, 5.2
Cowlitz County,53015,Urban,22.2 ,17.2, 28.3,14 , 2 , 22,15,stable,0.4 ,-3.3, 4.4
Jefferson County,53031,Rural,21.7 ,13.5, 34.5,15 , 1 , 25,7,stable,1.4 ,-1.0, 4.3
Lewis County,53041,Rural,21.4 ,15.7, 28.6,16 , 2 , 23,10,rising,18.6 ,0.7, 50.7
Whatcom County,53073,Urban,21.1 ,17.7, 24.9,17 , 8 , 21,30,falling,-4.4 ,-6.9, -2.7
Kittitas County,53037,Rural,20.6 ,13.2, 31,18 , 1 , 26,5,*,*,*,*
Clark County,53011,Urban,16.8 ,14.7, 19.1,20 , 16 , 23,50,falling,-2.4 ,-4.3, -0.5
Okanogan County,53047,Rural,16.7 ,9.8, 26.7,21 , 3 , 28,4,*,*,*,*
Pacific County,53049,Rural,16.3 ,8.5, 30,22 , 2 , 28,3,*,*,*,*
Yakima County,53077,Urban,13.4 ,10.7, 16.7,23 , 18 , 27,17,stable,-1.0 ,-3.2, 1.3
Benton County,53005,Urban,13.1 ,10.2, 16.5,24 , 19 , 27,15,stable,0.4 ,-1.4, 2.3
Franklin County,53021,Urban,10.8 ,6.7, 16.4,25 , 19 , 28,4,*,*,*,*
Walla Walla County,53071,Urban,10.2 ,6, 16.4,26 , 19 , 28,4,falling,-5.2 ,-18.2, -0.3
Grant County,53025,Rural,8.8 ,5.5, 13.4,27 , 22 , 28,5,falling,-10.9 ,-19.2, -5.7
Spokane County,53063,Urban,8.8 ,7.3, 10.5,28 , 24 , 28,28,stable,1.6 ,-10.3, 15.2
Adams County,53001,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Columbia County,53013,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Ferry County,53019,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Garfield County,53023,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Klickitat County,53039,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Lincoln County,53043,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Pend Oreille County,53051,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
San Juan County,53055,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Skamania County,53059,Urban,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Stevens County,53065,Urban,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Wahkiakum County,53069,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Whitman County,53075,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
