County,FIPS,Age Adjusted Incidence Rate,Lower 95% CI,Upper 95% CI,CI Rank,Lower CI Rank,Upper CI Rank,Annual Average Count,Recent Trend,Recent 5 Year Trend,Trend Lower 95% CI,Trend Upper 95% CI,NA
Chelan County,53007,Urban,49.6 ,40.9, 59.8,1 , 1 , 9,25,rising,4.6 ,1.9, 8.3
Jefferson County,53031,Rural,48.6 ,36.6, 64.6,2 , 1 , 14,16,rising,1.9 ,0.6, 3.7
San Juan County,53055,Rural,47.7 ,32.1, 70.5,3 , 1 , 18,8,*,*,*,*
Island County,53029,Rural,44.5 ,36.8, 53.6,4 , 1 , 12,27,stable,0.7 ,-0.7, 2.6
Clallam County,53009,Rural,43.9 ,36.7, 52.3,5 , 1 , 11,31,rising,2.4 ,1.0, 4.4
Kitsap County,53035,Urban,41.7 ,37.2, 46.5,6 , 2 , 10,70,stable,-10.4 ,-19.3, 0.9
Mason County,53045,Rural,39.6 ,31.6, 49.1,7 , 1 , 17,19,rising,1.7 ,0.5, 3.4
Asotin County,53003,Urban,38.7 ,26.3, 56,8 , 1 , 23,7,*,*,*,*
Snohomish County,53061,Urban,36.9 ,34.2, 39.7,9 , 5 , 13,155,stable,-1.7 ,-8.7, 1.8
King County,53033,Urban,34 ,32.5, 35.7,10 , 7 , 15,379,stable,0.5 ,-2.2, 1.4
Thurston County,53067,Urban,33.1 ,29.2, 37.5,11 , 6 , 18,54,rising,2.2 ,1.4, 3.4
Skagit County,53057,Urban,33.1 ,27.7, 39.4,12 , 5 , 20,28,stable,1.3 ,0.0, 2.9
Pierce County,53053,Urban,32 ,29.6, 34.5,13 , 8 , 18,146,rising,2.5 ,1.9, 3.2
Whatcom County,53073,Urban,31.3 ,27, 36.1,14 , 7 , 20,41,stable,16.9 ,-1.6, 28.2
Okanogan County,53047,Rural,29.2 ,20.7, 40.3,15 , 4 , 26,9,stable,1.4 ,-2.7, 6.2
Clark County,53011,Urban,28.6 ,25.7, 31.7,16 , 11 , 21,77,falling,-2.0 ,-3.6, -0.3
Grays Harbor County,53027,Rural,26.8 ,20.6, 34.3,17 , 8 , 26,14,stable,3.3 ,0.0, 17.3
Lewis County,53041,Rural,26.4 ,20.4, 33.7,18 , 9 , 26,15,stable,1.0 ,-2.7, 5.2
Klickitat County,53039,Rural,24.8 ,14.1, 40.8,19 , 4 , 30,4,stable,-7.5 ,-35.9, 1.6
Douglas County,53017,Urban,24.3 ,16.6, 34.5,20 , 8 , 29,7,stable,0.1 ,-4.2, 5.7
Kittitas County,53037,Rural,24.1 ,16.2, 34.8,21 , 8 , 29,6,stable,4.0 ,-0.7, 10.6
Cowlitz County,53015,Urban,22.8 ,17.9, 28.6,22 , 14 , 28,16,stable,0.6 ,-2.8, 4.8
Walla Walla County,53071,Urban,21.4 ,15.1, 29.7,23 , 12 , 29,8,falling,-6.9 ,-22.6, -3.0
Benton County,53005,Urban,20.3 ,16.6, 24.6,24 , 17 , 28,23,stable,-1.5 ,-3.7, 0.9
Yakima County,53077,Urban,20.1 ,16.7, 24,25 , 18 , 28,26,stable,0.3 ,-1.6, 2.4
Grant County,53025,Rural,19.8 ,14.5, 26.4,26 , 16 , 29,10,stable,1.5 ,-1.9, 5.5
Pacific County,53049,Rural,16.3 ,9, 28.7,27 , 15 , 30,4,*,*,*,*
Spokane County,53063,Urban,15.4 ,13.4, 17.7,28 , 25 , 30,45,stable,13.3 ,-4.1, 29.2
Stevens County,53065,Urban,13.1 ,7.8, 20.9,29 , 21 , 30,4,stable,-4.9 ,-10.6, 0.7
Franklin County,53021,Urban,10.5 ,6.4, 16,30 , 26 , 30,4,*,*,*,*
Adams County,53001,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Columbia County,53013,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Ferry County,53019,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Garfield County,53023,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Lincoln County,53043,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Pend Oreille County,53051,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Skamania County,53059,Urban,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Wahkiakum County,53069,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
Whitman County,53075,Rural,* ,*, *,* , * , *,3 or fewer,*,*,*,*
